,Route,Year,Ridership
0,B100,2018,1408029.0
1,B103,2018,4246206.0
2,Bx23,2018,1076181.0
3,Q6,2018,3272458.4
4,Q7,2018,1521558.0
5,Q8,2018,3261666.0
6,Q9,2018,1418204.0
7,Q10,2018,7047602.0
8,Q11,2018,1266352.4
9,Q18,2018,2483852.0
10,Q19,2018,1138150.0
11,Q21,2018,798708.2
12,Q22,2018,2045594.6
13,Q23,2018,5271826.0
14,Q25,2018,6319652.0
15,Q29,2018,1594236.0
16,Q33,2018,2250198.0
17,Q35,2018,1336255.0
18,Q37,2018,2275447.0
19,Q38,2018,2386385.0
20,Q39,2018,1498335.0
21,Q40,2018,1424131.0
22,Q41,2018,2113357.2
23,Q47,2018,2401354.0
24,Q49,2018,2639098.0
25,Q50,2018,1425930.0
26,Q52/53Lcl/SBS,2018,7313238.0
27,Q60,2018,4752023.0
28,Q64,2018,2545121.0
29,Q65,2018,6246856.0
30,Q66,2018,4531876.0
31,Q67,2018,646473.0
32,Q69,2018,2932729.0
33,Q70SBS,2018,1704485.147678859
34,Q72,2018,2007540.0
35,Q100,2018,1345218.0
36,Q101,2018,1184910.0
37,Q102,2018,1011421.0
38,Q103,2018,497553.0
39,Q104,2018,727988.0
40,Q110,2018,1798840.0
41,Q111,2018,3428213.0
42,Q112,2018,1707277.0
43,Q113,2018,1144471.0
44,Q114,2018,1955489.0
45,Local Total,2018,113110425.94767885
46,Express Routes,2018,
47,BM1,2018,266247.0
48,BM2,2018,195242.0
49,BM3,2018,181761.0
50,BM4,2018,143023.0
51,BM5,2018,166388.0
52,BxM1,2018,379294.0
53,BxM2,2018,219492.0
54,BxM3,2018,195224.0
55,BxM4,2018,112117.0
56,BxM6,2018,181213.0
57,BxM7,2018,744971.0
58,BxM8,2018,427359.0
59,BxM9,2018,565763.0
60,BxM10,2018,439177.0
61,BxM11,2018,339972.0
62,QM2 / QM32,2018,457631.0
63,QM4 / QM44,2018,185058.0
64,QM5 / QM35,2018,512787.0
65,QM6 / QM36,2018,279912.0
66,QM15,2018,388591.2
67,Express Total,2018,8200334.2
68,,2018,
69,,2018,
70,,2018,
71,,2018,
72,Adjustment,2018,137516.000000002
73,Grand Total,2018,121448276.14767885
74,,2018,
75,,2018,
76,,2018,
77,,2018,
78,"* MTA Bus Routes that were changed between 2018 and 2023; see ""Notes"" for details.",2018,
79,B100,2019,1419044.9096
80,B103,2019,4133500.8351
81,Bx23,2019,1088671.6165
82,Q6,2019,3305572.2581
83,Q7,2019,1494545.9012
84,Q8,2019,3236360.7023
85,Q9,2019,1395929.9814
86,Q10,2019,6790810.1932
87,Q11,2019,1266060.5987
88,Q18,2019,2712357.5462
89,Q19,2019,1009023.7706
90,Q21,2019,809200.1161
91,Q22,2019,1960843.1094
92,Q23,2019,5337201.3638
93,Q25,2019,6336823.9381
94,Q29,2019,1645315.4902
95,Q33,2019,2303214.5147
96,Q35,2019,1354893.8755
97,Q37,2019,2367075.2852
98,Q38,2019,2478064.359
99,Q39,2019,1475420.7452
100,Q40,2019,1402890.7461
101,Q41,2019,2078840.715
102,Q47,2019,2516808.1123
103,Q49,2019,2638598.951
104,Q50,2019,1452241.3403
105,Q52/53Lcl/SBS,2019,7007767.461
106,Q60,2019,4584957.4625
107,Q64,2019,2493440.2645
108,Q65,2019,6456678.4899
109,Q66,2019,4383037.5393
110,Q67,2019,681818.0331
111,Q69,2019,3011892.5592
112,Q70SBS,2019,1944491.4402
113,Q72,2019,2037805.7155
114,Q100,2019,1290195.3281
115,Q101,2019,1236506.7027
116,Q102,2019,879685.9703
117,Q103,2019,504580.2942
118,Q104,2019,709694.7972
119,Q110,2019,1672902.3893
120,Q111,2019,3314344.4822
121,Q112,2019,1621977.6649
122,Q113,2019,1100781.8468
123,Q114,2019,1833056.3727
124,Local Total,2019,112512323.58420001
125,Express Routes,2019,
126,BM1,2019,260983.0
127,BM2,2019,193147.0
128,BM3,2019,177346.0
129,BM4,2019,132825.0
130,BM5,2019,167393.0
131,BxM1,2019,359764.0
132,BxM2,2019,218381.0
133,BxM3,2019,185975.0
134,BxM4,2019,105072.0
135,BxM6,2019,168227.0
136,BxM7,2019,699754.0
137,BxM8,2019,397084.0
138,BxM9,2019,528217.0
139,BxM10,2019,414249.0
140,BxM11,2019,316520.0
141,QM2 / QM32,2019,419506.0
142,QM4 / QM44,2019,164957.0
143,QM5 / QM35,2019,464825.0
144,QM6 / QM36,2019,259267.0
145,QM15,2019,373872.0
146,Express Total,2019,7659047.0
147,,2019,
148,,2019,
149,,2019,
150,,2019,
151,Adjustment,2019,380208.9615
152,Grand Total,2019,120551579.54570001
153,,2019,
154,,2019,
155,,2019,
156,,2019,
157,"* MTA Bus Routes that were changed between 2018 and 2023; see ""Notes"" for details.",2019,
158,B100,2020,686432.8891
159,B103,2020,2657828.633
160,Bx23,2020,502141.902
161,Q6,2020,1606003.0183
162,Q7,2020,675385.85
163,Q8,2020,1608588.344
164,Q9,2020,623619.5068
165,Q10,2020,3907185.8223
166,Q11,2020,443187.0149
167,Q18,2020,1675538.3536
168,Q19,2020,721403.2799
169,Q21,2020,289686.8993
170,Q22,2020,765104.9313
171,Q23,2020,3319117.1021
172,Q25,2020,3430518.9308
