Open Dataset ID,Dataset Name / Title,Agency,Posting Frequency,Description,Status,Plan submission date,NYS URL,Catalog Category,Plan submission date notes
1,MTA Permanent Art Catalog: Beginning 1980,HQ,As needed,Provides a catalog of the various artwork located at train and subway stations throughout the metropolitan area under the MTA's Permanent Art Program.,Published,Complete,https://data.ny.gov/d/4y8j-9pkd,11. Miscellaneous,
2,MTA E-ZPass Retailers Locations,B&T,As needed,"This dataset is a moment in time snapshot of the locations of authorized businesses that can sell E-ZPass tags. It includes the name of the company, and its address.",Published,Complete,https://data.ny.gov/d/y59h-w6v4,10. Assets / geographical information,
3,MTA Eye On The Future Contract Solicitations: June 2018 - May 2019,HQ,Static - Not Updated,"Until March 2020, the MTA publicized solicitations on its website for capital projects in its Eye on the Future newsletters. Each report contained information for prospective contractors, engineers, architects and vendors about contracts for professional services, construction, and equipment procurement capital projects that are expected to be advertised for bids during specific time period by the Metropolitan Transportation AuthorityÕs operating agencies.",Published,Complete,https://data.ny.gov/d/e3e7-qwer,11. Miscellaneous,
4,MTA NYCT MetroCard History: 2010 - 2021,"Subway,Bus",Static - Not Updated,"This archival dataset shows the number of MetroCard swipes made each week by customers entering each station of the New York City Subway, Staten Island Railway, PATH, AirTrain JFK and the Roosevelt Island Tram, broken out to show the relative popularity of the various types of MetroCards.",Published,Complete,https://data.ny.gov/d/v7qc-gwpn,2. System usage,
5,MTA Bridges & Tunnels Hourly Traffic Rates: Beginning 2010,B&T,Weekly,"Reflects the number of vehicles (including cars, buses, trucks, and motorcycles) that pass through each of the bridges and tunnels operated by the MTA each hour of the day.",Published,Complete,https://data.ny.gov/d/qzve-kjga,2. System usage,
6,Metropolitan Transportation Authority (MTA) Capital Dashboard Agencies Detail,C&D,Quarterly,"The Capital Dashboard data provides information about the projects in the MTAÕs 2010 - 2014 and 2005 Ð 2009 Capital Programs. The data describes the planned projects and provide information about the status of Project Budgets, Scopes and Schedules. This dataset organizes information at the agency level.",Published,Complete,https://data.ny.gov/d/kizb-nxtu,7. Capital program,
7,Metropolitan Transportation Authority (MTA) Capital Dashboard Agencies Summary - All Load Dates,C&D,Quarterly,"The Capital Dashboard data provides information about the projects in the MTAÕs 2010 Ð 2014 and 2005 Ð 2009 Capital Programs. The data describes the planned projects and provide information about the status of Project Budgets, Scopes and Schedules.",Published - enhancements planned,Q3 2023,https://data.ny.gov/d/ehz8-ag3n,7. Capital program,
8,Metropolitan Transportation Authority (MTA) Capital Dashboard Project Locations,C&D,Quarterly,"The Capital Dashboard data provides information about the projects in the MTAÕs Capital Programs. The data describes the planned projects and provides information about the status of Project Budgets, Scopes and Schedules. This additional dataset provides the geo-coordinates where applicable for Capital Projects.",Published - enhancements planned,Q3 2023,https://data.ny.gov/d/wcsa-vkhf,7. Capital program,
9,MTA Subway Hourly Ridership: 2020 - 2024,Subway,Weekly,This dataset provides subway ridership estimates on an hourly basis by subway station complex and class of fare payment.,Published,Complete,https://data.ny.gov/d/wujg-7c2s,2. System usage,
10,MTA Customer Feedback Data: 2014 - 2019,"Subway,Bus,AAR,LIRR,MNR,B&T",Static - Not Updated,"This dataset contains information on customer feedback submitted by riders of the transit system on the MTAÕs website. For each piece of feedback provided, it is categorized as a complaint or commendation, and there is information provided for the agency (Buses, Subway, Long Island Rail Road, or Metro-North Railroad), the subject matter, the subject detail, the issue detail, the year, the quarter, and, if applicable, the branch/line/route.",Published,Complete,https://data.ny.gov/d/tppa-s6t6,8. Customer Feedback and Surveys,
