Agency,City,State,NTD_ID,Organization_Type,Reporter_Type,Report_Year,UACE_Code,UZA_Name,Primary_UZA_Population,Agency_VOMS,Mode,Mode_Name,TOS,Mode_VOMS,Vehicle_Operations,Vehicle_Maintenance,Facility_Maintenance,General_Administration,Reduced_Reporter_Expenses,Total,Purchased_Transportation_Reported_Separately
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2023,63217.0,"New York--Jersey City--Newark, NY--NJ",19426449.0,10040,HR,Heavy Rail,DO,5384,1624084504,1045988898,2363284046,1014596199,0,6047953647,0
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2023,63217.0,"New York--Jersey City--Newark, NY--NJ",19426449.0,10040,MB,Bus,DO,3214,1835649901,508748155,184737190,589349975,0,3118485221,0
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2023,63217.0,"New York--Jersey City--Newark, NY--NJ",19426449.0,10040,DR,Demand Response,PT,876,336859361,28978098,13317983,185497525,0,564652967,0
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2023,63217.0,"New York--Jersey City--Newark, NY--NJ",19426449.0,10040,CB,Commuter Bus,DO,443,167620712,46458400,16870026,53827981,0,284777119,0
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2023,63217.0,"New York--Jersey City--Newark, NY--NJ",19426449.0,10040,RB,Bus Rapid Transit,DO,123,66220527,18353935,6664701,21265375,0,112504538,0
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2023,63217.0,"New York--Jersey City--Newark, NY--NJ",19426449.0,1143,CR,Commuter Rail,DO,1132,634927308,308416874,382895348,279853503,0,1606093033,0
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2023,63217.0,"New York--Jersey City--Newark, NY--NJ",19426449.0,1143,MB,Bus,PT,9,2509753,134000,124559,340738,0,3109050,0
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2023,63217.0,"New York--Jersey City--Newark, NY--NJ",19426449.0,1143,FB,Ferryboat,PT,2,3474351,822646,33075,316723,0,4646795,0
MTA Bus Company,New York,NY,20188,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2023,63217.0,"New York--Jersey City--Newark, NY--NJ",19426449.0,1134,MB,Bus,DO,1134,528161421,211902424,12419056,159246105,0,911729006,0
MTA Long Island Rail Road,New York,NY,20100,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2023,63217.0,"New York--Jersey City--Newark, NY--NJ",19426449.0,1109,CR,Commuter Rail,DO,1109,774294835,517414685,515194360,328314820,0,2135218700,0
"Westchester County, dba: Westchester County - Bee Line",White Plains,NY,20076,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2023,63217.0,"New York--Jersey City--Newark, NY--NJ",19426449.0,382,MB,Bus,PT,268,58155022,19499849,4474860,84664116,0,166793847,0
"Westchester County, dba: Westchester County - Bee Line",White Plains,NY,20076,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2023,63217.0,"New York--Jersey City--Newark, NY--NJ",19426449.0,382,DR,Demand Response,PT,82,10132860,850660,112816,3173022,0,14269358,0
"Westchester County, dba: Westchester County - Bee Line",White Plains,NY,20076,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2023,63217.0,"New York--Jersey City--Newark, NY--NJ",19426449.0,382,DR,Demand Response,TX,32,1167491,333569,16723,282501,0,1800284,0
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,2023,970.0,"Albany--Schenectady, NY",593142.0,345,MB,Bus,DO,214,55925498,12470471,7195362,14293863,0,89885194,0
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,2023,970.0,"Albany--Schenectady, NY",593142.0,345,DR,Demand Response,PT,58,3315561,1998717,600177,1584820,0,7499275,0
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,2023,970.0,"Albany--Schenectady, NY",593142.0,345,VP,Vanpool,PT,35,105230,30257,1009,336650,0,473146,0
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,2023,970.0,"Albany--Schenectady, NY",593142.0,345,DR,Demand Response,DO,29,10103707,2198785,2020561,3539288,0,17862341,0
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,2023,970.0,"Albany--Schenectady, NY",593142.0,345,CB,Commuter Bus,PT,9,1170286,750397,150904,405289,0,2476876,0
