Station ID,Year,Station Name,Segment,Sector,Borough,Avg Weekday Ridership,Avg Weekend Ridership,Annual Ridership,Weekday Rank,Weekend Rank
10,2023.0,"Wall St (2,3)",Broadway/7 Av (CBD),Downtown,Manhattan,12395,10788,3729954,76.0,112.0
50,2023.0,Rector St (1),Broadway/7 Av (CBD),Downtown,Manhattan,4898,6620,1606245,209.0,181.0
60,2023.0,WTC Cortlandt (1),Broadway/7 Av (CBD),Downtown,Manhattan,10218,13879,3358064,98.0,82.0
70,2023.0,"Chambers St (1,2,3)",Broadway/7 Av (CBD),Downtown,Manhattan,12798,9934,3782605,70.0,130.0
80,2023.0,Franklin St (1),Broadway/7 Av (CBD),Valley,Manhattan,4337,4222,1329726,227.0,248.0
90,2023.0,Canal St (1),Broadway/7 Av (CBD),Valley,Manhattan,3595,4352,1148885,276.0,245.0
100,2023.0,Houston St (1),Broadway/7 Av (CBD),Valley,Manhattan,8908,9033,2749660,112.0,140.0
110,2023.0,Christopher St-Sheridan Sq (1),Broadway/7 Av (CBD),Valley,Manhattan,7965,14665,2817379,138.0,74.0
130,2023.0,18 St (1),Broadway/7 Av (CBD),Valley,Manhattan,5607,7286,1813302,180.0,170.0
140,2023.0,23 St (1),Broadway/7 Av (CBD),Valley,Manhattan,9477,13814,3154290,106.0,84.0
150,2023.0,28 St (1),Broadway/7 Av (CBD),Valley,Manhattan,9576,11146,3038057,104.0,104.0
160,2023.0,"34 St-Penn Station (1,2,3)",Broadway/7 Av (CBD),Midtown,Manhattan,47315,58440,15224047,8.0,9.0
180,2023.0,50 St (1),Broadway/7 Av (CBD),Midtown,Manhattan,18190,23212,5893837,38.0,31.0
200,2023.0,66 St-Lincoln Center (1),Broadway/7 Av (Non-CBD),Upper Manhattan,Manhattan,14897,18279,4771815,58.0,49.0
210,2023.0,"72 St (1,2,3)",Broadway/7 Av (Non-CBD),Upper Manhattan,Manhattan,27088,40610,9086110,22.0,17.0
220,2023.0,79 St (1),Broadway/7 Av (Non-CBD),Upper Manhattan,Manhattan,10651,14981,3519664,93.0,72.0
230,2023.0,86 St. (1),Broadway/7 Av (Non-CBD),Upper Manhattan,Manhattan,12406,15280,3983729,74.0,69.0
240,2023.0,"96 St (1,2,3)",Broadway/7 Av (Non-CBD),Upper Manhattan,Manhattan,24224,31319,7856393,23.0,24.0
250,2023.0,103 St (1),Upper Broadway,Upper Manhattan,Manhattan,8775,12172,2892314,114.0,95.0
260,2023.0,Cathedral Pkwy-110 St (1),Upper Broadway,Upper Manhattan,Manhattan,8721,12551,2898816,117.0,91.0
270,2023.0,116 St-Columbia University (1),Upper Broadway,Upper Manhattan,Manhattan,11001,11511,3416295,88.0,100.0
280,2023.0,125 St (1),Upper Broadway,Upper Manhattan,Manhattan,6175,7681,1986493,168.0,165.0
290,2023.0,137 St-City College (1),Upper Broadway,Upper Manhattan,Manhattan,8428,11003,2738004,126.0,107.0
300,2023.0,145 St (1),Upper Broadway,Upper Manhattan,Manhattan,6447,8438,2100654,162.0,149.0
310,2023.0,157 St (1),Upper Broadway,Upper Manhattan,Manhattan,7148,8612,2288380,144.0,147.0
330,2023.0,181 St (1),Upper Broadway,Upper Manhattan,Manhattan,7582,8934,2416958,141.0,143.0
340,2023.0,191 St (1),Upper Broadway,Upper Manhattan,Manhattan,5348,5885,1682168,188.0,197.0
350,2023.0,Dyckman St (1),Upper Broadway,Upper Manhattan,Manhattan,4704,5782,1512897,212.0,200.0
360,2023.0,207 St (1),Upper Broadway,Upper Manhattan,Manhattan,4255,4956,1352957,233.0,227.0
370,2023.0,215 St (1),Upper Broadway,Upper Manhattan,Manhattan,1485,1529,459810,396.0,375.0
380,2023.0,Marble Hill-225 St (1),Upper Broadway,Upper Manhattan,Manhattan,3429,3574,1067679,284.0,274.0
390,2023.0,231 St (1),Upper Broadway,Bronx,Bronx,6165,5977,1894047,169.0,193.0
400,2023.0,238 St (1),Upper Broadway,Bronx,Bronx,3104,3141,959752,298.0,295.0
410,2023.0,Van Cortlandt Park-242 St (1),Upper Broadway,Bronx,Bronx,4695,3972,1409910,213.0,261.0
420,2023.0,"Central Park North-110 St (2,3)",Lenox Av,Upper Manhattan,Manhattan,4915,6397,1598022,207.0,188.0
430,2023.0,"116 St (2,3)",Lenox Av,Upper Manhattan,Manhattan,6164,8260,2014762,170.0,153.0
